date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:37	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Dec%202023%2007:29:41%20GMT	https://pepe20.vip/robots.txt		(from )
12:59:38	93351/93351	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2007:29:42%20GMT	https://pepe20.vip/	C:/My%20Web%20Sites/pepe2/pepe20.vip/index.html	(from )
12:59:38	765/765	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2004%20Dec%202023%2007:29:43%20GMT	https://pepe20.vip/index.php?format=feed&type=rss	C:/My%20Web%20Sites/pepe2/pepe20.vip/indexc0d0.php	(from https://pepe20.vip/)
12:59:39	785/785	---M--	200	added ('OK')	application/atom+xml	date:Mon,%2004%20Dec%202023%2007:29:43%20GMT	https://pepe20.vip/index.php?format=feed&type=atom	C:/My%20Web%20Sites/pepe2/pepe20.vip/index7b17.php	(from https://pepe20.vip/)
12:59:39	19701/19701	---M--	200	added ('OK')	image/x-icon	date:Sun,%2002%20Jul%202023%2019:03:22%20GMT	https://pepe20.vip/templates/cassiopeia/favicon.ico	C:/My%20Web%20Sites/pepe2/pepe20.vip/templates/cassiopeia/favicon.ico	(from https://pepe20.vip/)
12:59:40	106/106	---M--	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202023%2019:34:26%20GMT	https://pepe20.vip/templates/cassiopeia/css/global/colors_standard.min.css?556de5c8d1323ab479933369210f7109	C:/My%20Web%20Sites/pepe2/pepe20.vip/templates/cassiopeia/css/global/colors_standard.min0892.css	(from https://pepe20.vip/)
12:59:40	75932/75932	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202023%2019:34:25%20GMT	https://pepe20.vip/media/system/css/joomla-fontawesome.min.css?556de5c8d1323ab479933369210f7109	C:/My%20Web%20Sites/pepe2/pepe20.vip/media/system/css/joomla-fontawesome.min0892.css	(from https://pepe20.vip/)
12:59:40	205899/205899	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Jul%202023%2023:14:05%20GMT	https://pepe20.vip/templates/cassiopeia/css/template.min.css?556de5c8d1323ab479933369210f7109	C:/My%20Web%20Sites/pepe2/pepe20.vip/templates/cassiopeia/css/template.min0892.css	(from https://pepe20.vip/)
12:59:40	6081/6081	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202023%2019:34:26%20GMT	https://pepe20.vip/templates/cassiopeia/css/vendor/joomla-custom-elements/joomla-alert.min.css?0.2.0	C:/My%20Web%20Sites/pepe2/pepe20.vip/templates/cassiopeia/css/vendor/joomla-custom-elements/joomla-alert.min44b7.css	(from https://pepe20.vip/)
12:59:41	267/267	---M--	200	added ('OK')	application/javascript	date:Fri,%2030%20Jun%202023%2019:34:24%20GMT	https://pepe20.vip/media/com_wrapper/js/iframe-height.min.js?556de5c8d1323ab479933369210f7109	C:/My%20Web%20Sites/pepe2/pepe20.vip/media/com_wrapper/js/iframe-height.min0892.js	(from https://pepe20.vip/)
